epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,231.927,2.48486,5.14463,1.00112,0.02432,0.54952,0.03279,0.02441,1.00639,3.30792,0.91355,9.45707e-05,9.45707e-05,9.45707e-05
2,553.408,1.69395,3.51462,0.82471,0.09342,0.29271,0.06497,0.05038,0.87167,2.66963,0.89124,0.000188964,0.000188964,0.000188964
3,721.519,1.50961,3.01862,0.81551,0.14368,0.34015,0.15865,0.11909,0.80357,2.42166,0.88032,0.000282413,0.000282413,0.000282413
4,953.025,1.39729,2.75208,0.81038,0.2013,0.40521,0.27859,0.2179,0.7274,2.15244,0.86617,0.000281753,0.000281753,0.000281753
5,1207.12,1.32012,2.55798,0.80452,0.33546,0.5345,0.42248,0.34414,0.6609,1.81886,0.85446,0.000280337,0.000280337,0.000280337
6,1461.47,1.27903,2.38835,0.80142,0.39436,0.57431,0.50788,0.41036,0.68662,1.65711,0.85732,0.000278922,0.000278922,0.000278922
7,1681.02,1.22575,2.21888,0.79878,0.5329,0.62883,0.60861,0.5032,0.62803,1.52152,0.85002,0.000277506,0.000277506,0.000277506
8,1905.87,1.18578,2.07856,0.79664,0.60861,0.67904,0.7015,0.58174,0.65108,1.27802,0.85335,0.00027609,0.00027609,0.00027609
9,2146.99,1.16777,1.97839,0.79504,0.65263,0.74432,0.74081,0.63166,0.58962,1.21396,0.84161,0.000274674,0.000274674,0.000274674
10,2437.07,1.14598,1.89065,0.79331,0.73156,0.77838,0.81433,0.68451,0.63305,1.05744,0.84805,0.000273259,0.000273259,0.000273259
11,2660.36,1.12875,1.80488,0.79166,0.76459,0.79052,0.84371,0.70595,0.61652,1.03052,0.84447,0.000271843,0.000271843,0.000271843
12,2875.57,1.11699,1.76288,0.79147,0.76522,0.77674,0.84648,0.71103,0.63439,0.96916,0.85034,0.000270427,0.000270427,0.000270427
13,3163.76,1.0751,1.67113,0.79147,0.81692,0.84129,0.90725,0.76568,0.60414,0.83191,0.83705,0.000269012,0.000269012,0.000269012
