epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0203,0.89309,4.47826,1.02143,0.03413,0.03914,0.02139,0.01883,0.5283,4.13189,0.8092,9.38201e-05,9.38201e-05,9.38201e-05
2,19.3994,0.66241,3.75196,0.93342,0.38312,0.09223,0.11857,0.10861,0.41036,3.28815,0.81599,0.000187281,0.000187281,0.000187281
3,28.6342,0.62567,3.10052,0.93717,0.22514,0.44306,0.26595,0.2384,0.41885,2.22192,0.83534,0.000278854,0.000278854,0.000278854
4,37.9188,0.59136,2.64776,0.94493,0.36716,0.48098,0.38697,0.35013,0.41042,1.92803,0.84969,0.000277506,0.000277506,0.000277506
5,47.5563,0.56613,2.38149,0.9319,0.34355,0.60971,0.52574,0.48558,0.37809,1.63902,0.84371,0.000274674,0.000274674,0.000274674
6,56.7081,0.54326,2.22426,0.9382,0.35451,0.72243,0.59148,0.53992,0.43354,1.53718,0.84493,0.000271843,0.000271843,0.000271843
7,66.0632,0.53478,2.05133,0.93348,0.60996,0.72358,0.75116,0.7056,0.35743,1.27794,0.82631,0.000269012,0.000269012,0.000269012
8,75.4829,0.50821,1.9162,0.92835,0.66771,0.76887,0.81535,0.77224,0.33908,1.12404,0.82424,0.00026618,0.00026618,0.00026618
9,84.2311,0.48353,1.7585,0.91871,0.73534,0.79828,0.87003,0.83066,0.31872,0.97983,0.8216,0.000263349,0.000263349,0.000263349
10,93.1199,0.4569,1.67782,0.90389,0.85055,0.85734,0.92714,0.89518,0.28991,0.89168,0.80876,0.000260517,0.000260517,0.000260517
11,101.933,0.44306,1.59385,0.89907,0.91872,0.85555,0.94798,0.90518,0.33077,0.77993,0.82267,0.000257686,0.000257686,0.000257686
12,110.746,0.44518,1.54568,0.90469,0.93556,0.88203,0.9567,0.91652,0.31942,0.7487,0.81509,0.000254855,0.000254855,0.000254855
13,119.519,0.42394,1.4373,0.89947,0.95178,0.94083,0.9794,0.93577,0.31464,0.64552,0.81875,0.000252023,0.000252023,0.000252023
14,128.29,0.43261,1.39163,0.90218,0.95781,0.93511,0.98569,0.94213,0.31536,0.64939,0.81415,0.000249192,0.000249192,0.000249192
15,137.25,0.40797,1.30406,0.89107,0.97471,0.95106,0.98876,0.95661,0.29758,0.55715,0.81486,0.00024636,0.00024636,0.00024636
16,145.984,0.40964,1.31375,0.89705,0.97869,0.98268,0.9938,0.9593,0.30179,0.54604,0.81825,0.000243529,0.000243529,0.000243529
17,154.666,0.40958,1.24361,0.89033,0.96583,0.97332,0.99257,0.96818,0.25428,0.51836,0.80622,0.000240698,0.000240698,0.000240698
18,163.32,0.37118,1.23249,0.88433,0.98176,0.98431,0.9943,0.96592,0.26552,0.48543,0.80683,0.000237866,0.000237866,0.000237866
19,172.194,0.3673,1.15583,0.87851,0.98245,0.98565,0.9943,0.96584,0.26567,0.46069,0.80235,0.000235035,0.000235035,0.000235035
20,180.998,0.37223,1.18778,0.88691,0.97981,0.97379,0.99264,0.9586,0.27628,0.47739,0.80032,0.000232203,0.000232203,0.000232203
21,189.758,0.35753,1.11223,0.87813,0.98044,0.97886,0.99441,0.9709,0.25583,0.44978,0.80026,0.000229372,0.000229372,0.000229372
22,198.668,0.36127,1.09703,0.87485,0.98216,0.97954,0.99418,0.97703,0.23819,0.43063,0.79602,0.000226541,0.000226541,0.000226541
23,207.337,0.35803,1.08306,0.88075,0.98517,0.98496,0.99474,0.97665,0.23542,0.41548,0.79391,0.000223709,0.000223709,0.000223709
24,215.922,0.34501,1.06813,0.87381,0.98117,0.986,0.99383,0.9722,0.24382,0.42091,0.79652,0.000220878,0.000220878,0.000220878
25,224.76,0.34795,1.05623,0.88029,0.9888,0.98354,0.99483,0.97619,0.23566,0.40255,0.79463,0.000218046,0.000218046,0.000218046
26,233.525,0.33427,1.00351,0.8714,0.9879,0.99132,0.99463,0.97782,0.23431,0.38416,0.79142,0.000215215,0.000215215,0.000215215
27,242.181,0.32603,1.0482,0.87443,0.98377,0.98733,0.9948,0.98239,0.22139,0.38569,0.7908,0.000212384,0.000212384,0.000212384
28,250.912,0.32586,0.961,0.86511,0.98686,0.99361,0.99492,0.97815,0.22487,0.36938,0.79293,0.000209552,0.000209552,0.000209552
29,259.61,0.33277,0.98064,0.87603,0.99122,0.98861,0.99484,0.98138,0.21561,0.36441,0.78909,0.000206721,0.000206721,0.000206721
30,268.305,0.32392,0.9345,0.86363,0.98892,0.99412,0.99497,0.98043,0.21403,0.36664,0.78958,0.000203889,0.000203889,0.000203889
31,276.96,0.3288,0.96807,0.86898,0.98966,0.99472,0.99487,0.98111,0.2137,0.34877,0.78825,0.000201058,0.000201058,0.000201058
32,285.548,0.31612,0.97948,0.87249,0.98819,0.99435,0.995,0.98099,0.21903,0.3561,0.78653,0.000198227,0.000198227,0.000198227
33,294.244,0.30821,0.95147,0.86579,0.98743,0.99603,0.995,0.98217,0.21215,0.3501,0.78742,0.000195395,0.000195395,0.000195395
34,302.925,0.30635,0.95125,0.87056,0.98876,0.99331,0.99492,0.98038,0.22683,0.34997,0.78892,0.000192564,0.000192564,0.000192564
35,311.697,0.3131,0.9446,0.86582,0.99248,0.99426,0.995,0.98544,0.19411,0.33599,0.78465,0.000189732,0.000189732,0.000189732
36,320.832,0.30624,0.90194,0.86755,0.98919,0.9965,0.995,0.98327,0.206,0.33272,0.78449,0.000186901,0.000186901,0.000186901
37,330.005,0.30107,0.91075,0.8593,0.98686,0.99352,0.995,0.98335,0.20298,0.33419,0.78599,0.00018407,0.00018407,0.00018407
38,339.152,0.29991,0.89104,0.8608,0.9918,0.99459,0.995,0.98488,0.20736,0.32305,0.78421,0.000181238,0.000181238,0.000181238
39,348.398,0.29505,0.89998,0.86402,0.99055,0.99307,0.995,0.98468,0.20568,0.32621,0.78446,0.000178407,0.000178407,0.000178407
40,357.651,0.27773,0.87324,0.85033,0.99186,0.99579,0.995,0.9841,0.20514,0.32115,0.78376,0.000175575,0.000175575,0.000175575
41,366.779,0.28624,0.85867,0.854,0.99114,0.99541,0.995,0.98517,0.20203,0.31381,0.784,0.000172744,0.000172744,0.000172744
42,376.322,0.28449,0.86616,0.85267,0.99223,0.99567,0.995,0.98332,0.21641,0.3185,0.78396,0.000169913,0.000169913,0.000169913
43,385.473,0.28699,0.88342,0.85894,0.98985,0.99279,0.995,0.98599,0.20515,0.31601,0.78068,0.000167081,0.000167081,0.000167081
