epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,385.215,0.3394,0.38117,0.77468,0.96477,0.94005,0.98428,0.87892,0.34403,0.29234,0.77183,0.000169913,0.000169913,0.000169913
43,401.187,0.33663,0.38106,0.77289,0.96751,0.94152,0.98569,0.89199,0.31741,0.28215,0.77182,0.000167081,0.000167081,0.000167081
44,417.277,0.33091,0.3712,0.77505,0.9687,0.94055,0.98528,0.88776,0.31852,0.27945,0.77086,0.00016425,0.00016425,0.00016425
45,433.765,0.32728,0.36708,0.77335,0.96442,0.94187,0.98509,0.87728,0.34348,0.28654,0.77089,0.000161418,0.000161418,0.000161418
46,449.829,0.3248,0.37077,0.77238,0.97021,0.94117,0.98565,0.88715,0.33562,0.28584,0.77111,0.000158587,0.000158587,0.000158587
47,465.812,0.32992,0.36821,0.77453,0.96987,0.94167,0.98558,0.89455,0.31087,0.27467,0.76987,0.000155756,0.000155756,0.000155756
48,481.794,0.32298,0.3627,0.77333,0.97239,0.94469,0.98569,0.88826,0.32302,0.27382,0.77189,0.000152924,0.000152924,0.000152924
49,498.139,0.32473,0.3615,0.77167,0.9723,0.94872,0.98682,0.87264,0.35889,0.28213,0.77184,0.000150093,0.000150093,0.000150093
50,514.173,0.31841,0.35138,0.77202,0.9755,0.94476,0.9869,0.8878,0.32416,0.26976,0.76994,0.000147261,0.000147261,0.000147261
51,530.185,0.32231,0.35558,0.77046,0.9765,0.94235,0.98655,0.87791,0.35885,0.2817,0.77119,0.00014443,0.00014443,0.00014443
52,546.056,0.3187,0.34765,0.77216,0.97631,0.94039,0.98636,0.8906,0.33535,0.27658,0.77033,0.000141599,0.000141599,0.000141599
53,562.271,0.32066,0.35293,0.77291,0.97556,0.95017,0.98736,0.8737,0.36129,0.27876,0.77126,0.000138767,0.000138767,0.000138767
54,578.511,0.30778,0.34243,0.7715,0.97661,0.94674,0.98724,0.88755,0.3251,0.26579,0.76965,0.000135936,0.000135936,0.000135936
55,594.594,0.31335,0.34912,0.7744,0.9733,0.95141,0.98777,0.88188,0.33887,0.26878,0.7693,0.000133104,0.000133104,0.000133104
56,611.105,0.30619,0.33847,0.7724,0.97754,0.94681,0.98764,0.89113,0.31976,0.26327,0.76966,0.000130273,0.000130273,0.000130273
57,627.502,0.31055,0.33879,0.77143,0.97329,0.95456,0.98757,0.88517,0.33127,0.26797,0.77003,0.000127442,0.000127442,0.000127442
58,643.822,0.30618,0.33453,0.77189,0.97136,0.95925,0.98803,0.87383,0.35916,0.26992,0.77068,0.00012461,0.00012461,0.00012461
59,659.934,0.30518,0.33419,0.77111,0.98204,0.94483,0.98761,0.89101,0.31186,0.26061,0.76959,0.000121779,0.000121779,0.000121779
60,675.893,0.31367,0.33928,0.77206,0.97573,0.9496,0.98829,0.89025,0.32906,0.26269,0.77031,0.000118947,0.000118947,0.000118947
61,692.146,0.30663,0.32745,0.77154,0.97367,0.95492,0.98842,0.89817,0.29862,0.25126,0.76891,0.000116116,0.000116116,0.000116116
62,708.525,0.29769,0.32037,0.77113,0.96479,0.96085,0.98768,0.88856,0.32774,0.26034,0.769,0.000113285,0.000113285,0.000113285
63,724.506,0.29965,0.32591,0.77034,0.97672,0.95109,0.98801,0.89464,0.32096,0.25587,0.7689,0.000110453,0.000110453,0.000110453
64,740.459,0.30564,0.32507,0.77174,0.98028,0.95527,0.98889,0.89915,0.30125,0.248,0.76877,0.000107622,0.000107622,0.000107622
65,756.443,0.30126,0.32166,0.77139,0.97878,0.95596,0.98906,0.89011,0.32259,0.25306,0.76927,0.00010479,0.00010479,0.00010479
66,772.448,0.29646,0.31907,0.77142,0.98542,0.94732,0.98882,0.88998,0.33189,0.25558,0.76933,0.000101959,0.000101959,0.000101959
67,788.506,0.29814,0.32081,0.77155,0.9817,0.95396,0.98901,0.89278,0.3176,0.24893,0.76816,9.91276e-05,9.91276e-05,9.91276e-05
68,804.355,0.29668,0.3167,0.77055,0.97936,0.94767,0.98823,0.89962,0.30715,0.25139,0.76833,9.62962e-05,9.62962e-05,9.62962e-05
69,820.289,0.29664,0.31685,0.77031,0.9705,0.96217,0.98879,0.89039,0.32052,0.25186,0.76882,9.34648e-05,9.34648e-05,9.34648e-05
70,836.419,0.29068,0.31059,0.76915,0.97356,0.95937,0.98904,0.88282,0.33824,0.25419,0.76984,9.06334e-05,9.06334e-05,9.06334e-05
71,852.359,0.29133,0.3111,0.77022,0.97941,0.95727,0.98931,0.89645,0.30444,0.24302,0.76857,8.7802e-05,8.7802e-05,8.7802e-05
72,868.427,0.29539,0.31134,0.77013,0.97715,0.96108,0.98955,0.89471,0.313,0.24431,0.76822,8.49706e-05,8.49706e-05,8.49706e-05
73,884.512,0.29195,0.30791,0.7697,0.97545,0.96092,0.98941,0.8931,0.31341,0.24546,0.76815,8.21392e-05,8.21392e-05,8.21392e-05
74,901.163,0.28645,0.30297,0.77259,0.97175,0.96196,0.98922,0.89034,0.33042,0.24974,0.76865,7.93078e-05,7.93078e-05,7.93078e-05
75,917.383,0.29208,0.3069,0.76986,0.97569,0.96298,0.98953,0.88891,0.32644,0.24622,0.76864,7.64764e-05,7.64764e-05,7.64764e-05
76,933.567,0.28531,0.3035,0.77014,0.97911,0.9576,0.98928,0.8869,0.33696,0.25006,0.7687,7.3645e-05,7.3645e-05,7.3645e-05
77,949.632,0.28273,0.29902,0.77142,0.97692,0.96487,0.9898,0.90087,0.29626,0.23441,0.76755,7.08136e-05,7.08136e-05,7.08136e-05
78,965.812,0.2813,0.29742,0.76965,0.97968,0.95825,0.98975,0.89272,0.3192,0.24168,0.76855,6.79822e-05,6.79822e-05,6.79822e-05
79,982.235,0.28153,0.29984,0.76883,0.97584,0.96255,0.98952,0.88489,0.33421,0.24534,0.76889,6.51508e-05,6.51508e-05,6.51508e-05
80,998.451,0.27599,0.29199,0.77119,0.97444,0.96297,0.98934,0.89163,0.32251,0.24122,0.76826,6.23194e-05,6.23194e-05,6.23194e-05
81,1014.51,0.28135,0.29533,0.77153,0.98322,0.95507,0.98966,0.8881,0.32955,0.24433,0.76894,5.9488e-05,5.9488e-05,5.9488e-05
82,1030.39,0.27931,0.29573,0.76882,0.97355,0.96176,0.98947,0.88452,0.33941,0.24626,0.7687,5.66566e-05,5.66566e-05,5.66566e-05
83,1046.79,0.27662,0.29263,0.76926,0.97843,0.9647,0.98977,0.89577,0.30889,0.23366,0.76823,5.38252e-05,5.38252e-05,5.38252e-05
84,1063,0.27899,0.29154,0.77087,0.97598,0.96708,0.9901,0.88833,0.32725,0.23959,0.76841,5.09938e-05,5.09938e-05,5.09938e-05
85,1078.91,0.27397,0.28549,0.76986,0.97764,0.96267,0.98986,0.89519,0.313,0.23736,0.76779,4.81624e-05,4.81624e-05,4.81624e-05
86,1094.9,0.27628,0.29086,0.7696,0.97586,0.9671,0.98999,0.89799,0.30119,0.23203,0.76758,4.5331e-05,4.5331e-05,4.5331e-05
87,1111.01,0.27347,0.28589,0.76985,0.97871,0.96168,0.98975,0.88706,0.33842,0.24151,0.7689,4.24996e-05,4.24996e-05,4.24996e-05
88,1127.08,0.27037,0.28423,0.77027,0.98345,0.9628,0.99005,0.88634,0.33891,0.24132,0.76874,3.96682e-05,3.96682e-05,3.96682e-05
89,1142.96,0.27511,0.28885,0.76977,0.98018,0.96339,0.99012,0.89253,0.32001,0.23379,0.76829,3.68368e-05,3.68368e-05,3.68368e-05
90,1158.89,0.26999,0.28216,0.77041,0.98176,0.96187,0.99023,0.89569,0.3123,0.23443,0.76795,3.40054e-05,3.40054e-05,3.40054e-05
91,1189.47,0.25554,0.27551,0.76544,0.97323,0.96166,0.98892,0.89719,0.30454,0.23899,0.76749,3.1174e-05,3.1174e-05,3.1174e-05
92,1205.12,0.24664,0.26499,0.76478,0.9779,0.95763,0.98877,0.89348,0.30793,0.23875,0.76735,2.83426e-05,2.83426e-05,2.83426e-05
93,1220.68,0.23991,0.26013,0.76558,0.97301,0.96074,0.98883,0.89781,0.30247,0.23473,0.76691,2.55112e-05,2.55112e-05,2.55112e-05
94,1235.92,0.23951,0.25918,0.7672,0.97023,0.96286,0.98865,0.90195,0.29113,0.23033,0.76692,2.26798e-05,2.26798e-05,2.26798e-05
95,1251.28,0.24325,0.25969,0.76732,0.97485,0.96022,0.98866,0.90722,0.27584,0.22494,0.76669,1.98484e-05,1.98484e-05,1.98484e-05
96,1266.98,0.24051,0.2557,0.7675,0.97167,0.96395,0.98893,0.90195,0.28793,0.22776,0.76671,1.7017e-05,1.7017e-05,1.7017e-05
97,1282.64,0.23467,0.25174,0.76533,0.97492,0.96081,0.98926,0.90182,0.29533,0.22928,0.76697,1.41856e-05,1.41856e-05,1.41856e-05
98,1298.12,0.23628,0.25421,0.76365,0.97312,0.96284,0.9893,0.90718,0.27972,0.22413,0.76687,1.13542e-05,1.13542e-05,1.13542e-05
99,1313.54,0.23192,0.25268,0.76315,0.97926,0.95647,0.9892,0.90914,0.27679,0.22279,0.76676,8.5228e-06,8.5228e-06,8.5228e-06
100,1329.04,0.23086,0.24723,0.76581,0.98044,0.95598,0.98908,0.90595,0.28376,0.22466,0.76692,5.6914e-06,5.6914e-06,5.6914e-06
