epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9421,1.23914,4.00799,1.09077,0.00845,0.92222,0.29487,0.21542,0.90943,3.42563,0.92893,0.000234222,0.000234222,0.000234222
2,29.1756,1.02215,2.24125,1.00765,0.74976,0.75359,0.87081,0.70673,0.72639,1.67629,0.89105,0.000467547,0.000467547,0.000467547
3,42.696,0.90244,1.47837,0.9829,0.82472,0.89136,0.9643,0.81999,0.60946,0.90057,0.84079,0.00069616,0.00069616,0.00069616
4,56.3169,0.79873,1.20347,0.94968,0.86285,0.92102,0.97343,0.83905,0.60092,0.96217,0.84495,0.000692794,0.000692794,0.000692794
5,69.7437,0.71776,1.00346,0.92277,0.94714,0.94997,0.98957,0.87537,0.5244,0.71675,0.83794,0.000685726,0.000685726,0.000685726
6,83.6549,0.69665,0.93419,0.92892,0.97434,0.99267,0.995,0.89854,0.4679,0.61212,0.82717,0.000678657,0.000678657,0.000678657
7,97.0885,0.652,0.84248,0.915,0.97414,1,0.995,0.90143,0.45924,0.58047,0.81797,0.000671588,0.000671588,0.000671588
8,111.388,0.63125,0.81439,0.91134,0.9877,0.99636,0.995,0.9156,0.41954,0.53788,0.81044,0.00066452,0.00066452,0.00066452
9,124.347,0.60061,0.74609,0.90555,0.99419,1,0.995,0.90803,0.43772,0.4971,0.81408,0.000657451,0.000657451,0.000657451
10,137.503,0.58961,0.71923,0.91337,0.99033,0.99545,0.995,0.91781,0.41775,0.48298,0.81595,0.000650383,0.000650383,0.000650383
11,150.747,0.58877,0.729,0.91401,0.98164,0.9923,0.995,0.92397,0.38733,0.50686,0.80448,0.000643314,0.000643314,0.000643314
12,163.924,0.5925,0.69723,0.89207,0.99236,1,0.995,0.92155,0.42024,0.45138,0.80602,0.000636245,0.000636245,0.000636245
13,176.952,0.58156,0.70933,0.90249,0.99297,0.99707,0.995,0.93075,0.39219,0.44245,0.80273,0.000629177,0.000629177,0.000629177
14,190.502,0.58626,0.68579,0.89727,0.98889,1,0.995,0.92714,0.39786,0.46031,0.80917,0.000622108,0.000622108,0.000622108
15,203.749,0.53539,0.65762,0.8888,0.99426,0.9965,0.995,0.93526,0.3639,0.41696,0.79568,0.00061504,0.00061504,0.00061504
16,216.744,0.54111,0.64391,0.89455,0.99091,0.99848,0.995,0.93211,0.36049,0.42562,0.79776,0.000607971,0.000607971,0.000607971
17,229.749,0.52187,0.59012,0.89001,0.9943,1,0.995,0.95162,0.33954,0.39448,0.79216,0.000600902,0.000600902,0.000600902
18,242.903,0.51899,0.60294,0.88451,0.99584,0.99828,0.995,0.93465,0.36957,0.38867,0.80027,0.000593834,0.000593834,0.000593834
19,256.157,0.51937,0.58719,0.87698,0.98791,1,0.995,0.93512,0.36789,0.39027,0.79397,0.000586765,0.000586765,0.000586765
20,268.914,0.52901,0.59007,0.89229,0.99426,0.99927,0.995,0.92269,0.38968,0.39707,0.79732,0.000579697,0.000579697,0.000579697
21,282.378,0.51258,0.57233,0.88275,0.99589,1,0.995,0.94418,0.3436,0.37018,0.7912,0.000572628,0.000572628,0.000572628
22,295.493,0.51301,0.56248,0.89337,0.9924,1,0.995,0.94364,0.34741,0.36244,0.79197,0.000565559,0.000565559,0.000565559
23,308.837,0.51156,0.5522,0.88118,0.99465,0.99711,0.995,0.94811,0.33161,0.37185,0.79163,0.000558491,0.000558491,0.000558491
24,321.717,0.4865,0.54008,0.87609,0.99423,0.9982,0.995,0.95225,0.32171,0.34728,0.78881,0.000551422,0.000551422,0.000551422
25,334.87,0.48993,0.55621,0.88235,0.99372,0.99984,0.995,0.94749,0.34282,0.34875,0.79012,0.000544354,0.000544354,0.000544354
26,347.934,0.47481,0.51198,0.88282,0.99531,1,0.995,0.95093,0.32669,0.32515,0.78818,0.000537285,0.000537285,0.000537285
27,361.693,0.47035,0.54216,0.88038,0.99611,1,0.995,0.94733,0.33319,0.33809,0.7893,0.000530216,0.000530216,0.000530216
28,374.779,0.47396,0.52648,0.87413,0.99389,1,0.995,0.95689,0.31618,0.34623,0.78504,0.000523148,0.000523148,0.000523148
29,387.621,0.47077,0.52127,0.87309,0.99377,1,0.995,0.96163,0.30986,0.31777,0.78185,0.000516079,0.000516079,0.000516079
30,400.874,0.45823,0.51513,0.87358,0.9952,0.99901,0.995,0.95321,0.31325,0.31626,0.78097,0.000509011,0.000509011,0.000509011
31,414.13,0.45889,0.51503,0.87827,0.99473,1,0.995,0.94269,0.35414,0.32559,0.79003,0.000501942,0.000501942,0.000501942
32,427.053,0.46124,0.50861,0.86829,0.99522,0.99808,0.995,0.95249,0.30928,0.3117,0.78419,0.000494873,0.000494873,0.000494873
33,440.252,0.43923,0.48154,0.86494,0.99589,1,0.995,0.96219,0.30405,0.29957,0.77793,0.000487805,0.000487805,0.000487805
34,453.161,0.44356,0.48647,0.86308,0.99531,1,0.995,0.95759,0.31065,0.29927,0.78095,0.000480736,0.000480736,0.000480736
35,466.004,0.45502,0.47831,0.87222,0.99124,1,0.995,0.95884,0.31248,0.306,0.78168,0.000473668,0.000473668,0.000473668
36,479.315,0.43768,0.47942,0.87292,0.99408,1,0.995,0.96663,0.28827,0.28444,0.77808,0.000466599,0.000466599,0.000466599
37,492.465,0.44972,0.47889,0.86637,0.99586,1,0.995,0.95978,0.31217,0.28936,0.78403,0.00045953,0.00045953,0.00045953
38,505.799,0.44006,0.46842,0.86891,0.99548,1,0.995,0.96955,0.28179,0.28256,0.77865,0.000452462,0.000452462,0.000452462
39,518.393,0.43472,0.45661,0.87041,0.99477,1,0.995,0.96524,0.28857,0.27656,0.7776,0.000445393,0.000445393,0.000445393
40,530.991,0.42893,0.44784,0.86482,0.99384,1,0.995,0.96605,0.28871,0.27868,0.77726,0.000438325,0.000438325,0.000438325
41,543.763,0.43715,0.45889,0.87388,0.99554,1,0.995,0.94831,0.31724,0.29635,0.78231,0.000431256,0.000431256,0.000431256
42,556.291,0.44739,0.46225,0.8719,0.99492,1,0.995,0.95808,0.30053,0.28595,0.77876,0.000424187,0.000424187,0.000424187
43,568.839,0.4519,0.46207,0.86845,0.99548,1,0.995,0.95363,0.30354,0.27941,0.77805,0.000417119,0.000417119,0.000417119
44,581.331,0.42928,0.44248,0.86439,0.99611,1,0.995,0.95611,0.30322,0.27859,0.78012,0.00041005,0.00041005,0.00041005
45,593.94,0.41752,0.44398,0.86766,0.99415,1,0.995,0.97102,0.27064,0.26063,0.77384,0.000402982,0.000402982,0.000402982
46,606.583,0.42191,0.43003,0.86343,0.99563,1,0.995,0.97354,0.26778,0.26126,0.77362,0.000395913,0.000395913,0.000395913
47,619.242,0.40518,0.40774,0.85798,0.99567,1,0.995,0.96427,0.28341,0.25302,0.77521,0.000388844,0.000388844,0.000388844
48,631.81,0.41928,0.43367,0.86887,0.9951,1,0.995,0.97279,0.26367,0.25273,0.77272,0.000381776,0.000381776,0.000381776
49,644.469,0.41117,0.41998,0.86308,0.99642,1,0.995,0.97825,0.26603,0.24773,0.77278,0.000374707,0.000374707,0.000374707
50,657.176,0.40866,0.42558,0.86429,0.99638,1,0.995,0.97159,0.27285,0.25822,0.77338,0.000367639,0.000367639,0.000367639
51,669.7,0.40478,0.42369,0.8671,0.99603,1,0.995,0.97164,0.26752,0.24868,0.77085,0.00036057,0.00036057,0.00036057
52,682.328,0.40662,0.40936,0.86186,0.99586,0.99939,0.995,0.96611,0.27151,0.25938,0.77514,0.000353501,0.000353501,0.000353501
53,694.831,0.39944,0.41287,0.85686,0.99492,1,0.995,0.97259,0.27892,0.25172,0.77308,0.000346433,0.000346433,0.000346433
54,707.388,0.40865,0.4192,0.86264,0.99532,0.99827,0.995,0.96799,0.2848,0.24838,0.7736,0.000339364,0.000339364,0.000339364
55,719.903,0.39609,0.4032,0.86326,0.99579,1,0.995,0.9761,0.26813,0.24288,0.77374,0.000332296,0.000332296,0.000332296
56,732.586,0.39285,0.40661,0.85138,0.99564,0.99817,0.995,0.96693,0.27589,0.24204,0.77518,0.000325227,0.000325227,0.000325227
57,745.28,0.37821,0.38636,0.85042,0.9961,1,0.995,0.97189,0.27379,0.23633,0.77388,0.000318158,0.000318158,0.000318158
58,758.456,0.39384,0.38737,0.86454,0.99627,1,0.995,0.97407,0.25716,0.23153,0.77299,0.00031109,0.00031109,0.00031109
59,771.261,0.38914,0.39267,0.86131,0.99577,1,0.995,0.97145,0.25624,0.23369,0.77117,0.000304021,0.000304021,0.000304021
60,783.92,0.39486,0.39876,0.8575,0.99601,1,0.995,0.97016,0.27242,0.23705,0.77399,0.000296953,0.000296953,0.000296953
61,796.618,0.39625,0.39112,0.8615,0.99448,1,0.995,0.96932,0.25586,0.22719,0.77145,0.000289884,0.000289884,0.000289884
62,809.382,0.38907,0.39535,0.86063,0.99373,1,0.995,0.96977,0.26221,0.22676,0.77263,0.000282815,0.000282815,0.000282815
63,822.131,0.38827,0.39155,0.85829,0.99603,1,0.995,0.97199,0.26399,0.22598,0.77055,0.000275747,0.000275747,0.000275747
64,834.689,0.38142,0.38861,0.85678,0.99362,1,0.995,0.97791,0.24733,0.21777,0.7683,0.000268678,0.000268678,0.000268678
65,847.307,0.38476,0.38849,0.85622,0.99654,1,0.995,0.9744,0.25399,0.21612,0.77035,0.00026161,0.00026161,0.00026161
66,860.034,0.38018,0.3793,0.86025,0.9962,1,0.995,0.96293,0.2851,0.23783,0.77213,0.000254541,0.000254541,0.000254541
67,872.768,0.3753,0.37473,0.85325,0.99501,0.99978,0.995,0.97779,0.24424,0.22063,0.76868,0.000247472,0.000247472,0.000247472
