epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.447,1.43144,4.47842,0.91988,0.0313,0.60238,0.0464,0.03522,0.95376,3.27385,0.8277,9.45707e-05,9.45707e-05,9.45707e-05
2,35.3676,1.02072,2.92843,0.82377,0.18424,0.3632,0.2005,0.15473,0.79064,2.18793,0.81473,0.000188024,0.000188024,0.000188024
3,52.1941,0.85908,2.14708,0.81041,0.42644,0.43877,0.42409,0.3366,0.74339,1.59578,0.80998,0.00027959,0.00027959,0.00027959
4,69.2325,0.77793,1.72933,0.80888,0.59739,0.53709,0.59667,0.49209,0.64273,1.25932,0.80161,0.000277506,0.000277506,0.000277506
5,85.691,0.73365,1.44179,0.80318,0.71341,0.5975,0.71185,0.59609,0.62699,1.00111,0.80233,0.000274674,0.000274674,0.000274674
6,102.149,0.68162,1.2018,0.80289,0.80076,0.67425,0.79124,0.67016,0.58222,0.83733,0.7963,0.000271843,0.000271843,0.000271843
7,119.068,0.6537,1.05838,0.79884,0.83818,0.71643,0.84176,0.72306,0.51938,0.71615,0.79247,0.000269012,0.000269012,0.000269012
8,135.646,0.61385,0.93281,0.79805,0.87783,0.75055,0.87348,0.74977,0.53406,0.64291,0.79433,0.00026618,0.00026618,0.00026618
9,152.176,0.59706,0.86058,0.79575,0.89404,0.77655,0.89668,0.75065,0.58818,0.59955,0.79579,0.000263349,0.000263349,0.000263349
10,168.734,0.58441,0.80091,0.7943,0.9073,0.8052,0.91337,0.78492,0.51356,0.55611,0.79189,0.000260517,0.000260517,0.000260517
11,185.564,0.56966,0.75852,0.79215,0.92497,0.80479,0.92226,0.78498,0.54197,0.54487,0.7911,0.000257686,0.000257686,0.000257686
12,202.31,0.56157,0.73189,0.79056,0.91671,0.8332,0.93482,0.8133,0.46199,0.50528,0.78828,0.000254855,0.000254855,0.000254855
13,218.968,0.54201,0.69429,0.78889,0.92258,0.83812,0.93977,0.80764,0.49695,0.49305,0.78629,0.000252023,0.000252023,0.000252023
14,235.527,0.53077,0.67642,0.78767,0.9272,0.84152,0.94265,0.82332,0.45162,0.46869,0.78569,0.000249192,0.000249192,0.000249192
15,252.115,0.53237,0.66561,0.78824,0.93689,0.86384,0.95148,0.84187,0.41302,0.4411,0.78198,0.00024636,0.00024636,0.00024636
16,268.809,0.51268,0.62711,0.78756,0.92851,0.87549,0.95452,0.83753,0.43365,0.43805,0.78348,0.000243529,0.000243529,0.000243529
17,285.936,0.51545,0.62976,0.78664,0.92975,0.89016,0.96065,0.83485,0.43851,0.42525,0.78275,0.000240698,0.000240698,0.000240698
18,302.555,0.50045,0.61081,0.7866,0.93515,0.88681,0.96123,0.83948,0.44261,0.41866,0.78171,0.000237866,0.000237866,0.000237866
19,319.251,0.50855,0.59824,0.78573,0.93688,0.89556,0.96528,0.8546,0.40503,0.39651,0.7789,0.000235035,0.000235035,0.000235035
20,335.57,0.4849,0.57843,0.78418,0.94981,0.89206,0.96777,0.85571,0.41287,0.39954,0.77988,0.000232203,0.000232203,0.000232203
21,352.163,0.48553,0.57897,0.78486,0.94329,0.89536,0.96747,0.85319,0.41471,0.39155,0.7803,0.000229372,0.000229372,0.000229372
22,368.808,0.4765,0.55778,0.78394,0.94341,0.91071,0.97066,0.87075,0.36859,0.36949,0.77755,0.000226541,0.000226541,0.000226541
23,385.27,0.49398,0.5616,0.78425,0.95015,0.90226,0.97148,0.86714,0.37342,0.36864,0.77758,0.000223709,0.000223709,0.000223709
24,401.805,0.47566,0.54373,0.78433,0.95433,0.90576,0.97186,0.85594,0.41733,0.3768,0.77916,0.000220878,0.000220878,0.000220878
25,418.278,0.46878,0.53855,0.78292,0.95729,0.90529,0.97365,0.86955,0.38279,0.36326,0.77812,0.000218046,0.000218046,0.000218046
26,434.754,0.45699,0.52678,0.78219,0.95332,0.91128,0.97402,0.87532,0.36934,0.35886,0.77732,0.000215215,0.000215215,0.000215215
27,451.021,0.46198,0.52189,0.7827,0.9647,0.9086,0.97571,0.86778,0.38821,0.36286,0.77733,0.000212384,0.000212384,0.000212384
28,467.583,0.45235,0.51426,0.78185,0.95017,0.91544,0.97574,0.86887,0.37619,0.34883,0.77702,0.000209552,0.000209552,0.000209552
29,484.339,0.44868,0.51045,0.78084,0.95843,0.9173,0.9775,0.87963,0.35633,0.33892,0.77433,0.000206721,0.000206721,0.000206721
30,501.253,0.44346,0.50815,0.78146,0.97121,0.90943,0.97856,0.86578,0.41357,0.35448,0.7765,0.000203889,0.000203889,0.000203889
31,517.956,0.43426,0.49094,0.78129,0.95955,0.91978,0.9787,0.87376,0.38688,0.34256,0.77517,0.000201058,0.000201058,0.000201058
32,534.735,0.42922,0.48188,0.78142,0.95873,0.92355,0.97935,0.85956,0.388,0.33471,0.77467,0.000198227,0.000198227,0.000198227
33,551.518,0.43346,0.48027,0.78095,0.95799,0.92425,0.97999,0.88033,0.35833,0.33377,0.77408,0.000195395,0.000195395,0.000195395
34,567.987,0.42476,0.46905,0.77802,0.95821,0.92944,0.98042,0.85758,0.42168,0.34038,0.77553,0.000192564,0.000192564,0.000192564
35,584.646,0.42742,0.47022,0.77991,0.957,0.93401,0.98182,0.87207,0.38931,0.33069,0.77449,0.000189732,0.000189732,0.000189732
36,601.399,0.42421,0.46375,0.78004,0.96573,0.92805,0.98189,0.86799,0.3846,0.32314,0.77367,0.000186901,0.000186901,0.000186901
37,618.474,0.41789,0.4586,0.77868,0.95506,0.93674,0.9823,0.8868,0.34222,0.31379,0.77185,0.00018407,0.00018407,0.00018407
38,635.082,0.4187,0.45664,0.78026,0.95957,0.93287,0.98305,0.88706,0.36053,0.31749,0.77357,0.000181238,0.000181238,0.000181238
39,651.516,0.41191,0.44747,0.77824,0.96498,0.93253,0.9827,0.88008,0.36984,0.31779,0.7728,0.000178407,0.000178407,0.000178407
40,668.388,0.41893,0.45174,0.77824,0.95773,0.93938,0.98346,0.86804,0.39285,0.31877,0.7727,0.000175575,0.000175575,0.000175575
