epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,191.971,1.02644,4.26669,1.31543,0.03479,0.22778,0.04694,0.04013,0.68527,4.44741,1.07335,9.38201e-05,9.38201e-05,9.38201e-05
2,376.266,0.6916,3.69077,1.12243,0.58702,0.20547,0.25729,0.22484,0.62678,3.63401,1.05807,0.000187281,0.000187281,0.000187281
3,559.833,0.68258,3.22594,1.11675,0.43765,0.37999,0.43042,0.37238,0.65709,3.08405,1.04463,0.000278854,0.000278854,0.000278854
4,740.06,0.63118,2.82547,1.07056,0.39752,0.65893,0.59122,0.5328,0.51376,2.69418,0.95694,0.000277506,0.000277506,0.000277506
5,918.581,0.58901,2.48973,1.04249,0.712,0.70236,0.8459,0.7669,0.51676,2.53205,0.98486,0.000274674,0.000274674,0.000274674
6,1098.95,0.58373,2.27585,1.03594,0.77107,0.78974,0.90216,0.82008,0.46286,1.8577,0.93916,0.000271843,0.000271843,0.000271843
7,1279.11,0.53663,2.0841,1.01401,0.87519,0.9227,0.97496,0.86796,0.51322,1.44153,0.96705,0.000269012,0.000269012,0.000269012
8,1466.43,0.51477,1.87875,0.99335,0.89237,0.95769,0.99426,0.89691,0.50013,1.33719,0.94468,0.00026618,0.00026618,0.00026618
9,1650.5,0.49145,1.7573,0.97998,0.88236,0.95135,0.99391,0.91353,0.4525,1.32175,0.92435,0.000263349,0.000263349,0.000263349
10,1835.72,0.48932,1.65872,0.98035,0.92847,0.95753,0.995,0.91444,0.45235,1.24874,0.94407,0.000260517,0.000260517,0.000260517
11,2017.95,0.46381,1.56579,0.9632,0.92016,0.96399,0.995,0.89603,0.46985,1.04886,0.92873,0.000257686,0.000257686,0.000257686
12,2199.68,0.46022,1.4832,0.96494,0.96612,0.98961,0.995,0.93152,0.39556,0.95156,0.92193,0.000254855,0.000254855,0.000254855
13,2379.61,0.44696,1.45407,0.95748,0.96503,0.98509,0.995,0.92555,0.41673,0.94907,0.92434,0.000252023,0.000252023,0.000252023
