epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5263,1.23914,4.00799,1.09077,0.00845,0.92222,0.29487,0.21542,0.90943,3.42563,0.92893,0.000234222,0.000234222,0.000234222
2,29.7501,1.02215,2.24125,1.00765,0.74976,0.75359,0.87081,0.70673,0.72639,1.67629,0.89105,0.000467547,0.000467547,0.000467547
3,43.766,0.90244,1.47837,0.9829,0.82472,0.89136,0.9643,0.81999,0.60946,0.90057,0.84079,0.00069616,0.00069616,0.00069616
